драматический	dramatic
ощущаться (i)	to be felt
панорама	panorama
парламентский	parliamentary
парта	school desk
паутина	cobweb
певица	singer f
первоначально	originally
перевал	crossing; mountain pass
переделка	alteration
перекрёсток	crossroads
перелив	tint; play of colours
перенимать/перенять (+a)	to copy, adopt	p перейму, переймёшь, past перенял, переняла, переняло
пересадка	change (of transport); transplant(ation)	g pl пересадок
переспрашивать/переспросить (+a)	to ask again	p переспрошу, переспросишь
периодический	periodic, recurrent
пирожок	pie
плавно	smoothly
плавучий	floating
плодотворный	fruitful
повествование	narration
повиноваться (i/p) (+d)	to obey	i повинуюсь; повиноваться р (past only)
поводить/повести (+inst)	to move, twitch	i повожу, поводишь
пограничный	border (adj)
подвешивать/подвесить (+a)	to suspend	p подвешу, подвесишь
поддержание	support, maintenance
подлежать (i) (+d)	to be subject to	i подлежит; Это не подлежит сомнению This is indisputable
подозрительный	suspicious
подолгу	for a long time
по-другому	differently
подружиться (р) (с +inst)	to make friends with	p подружусь, подружишься
подскакивать/подскочить	to run up; jump up	p подскочу, подскочишь
подступ (к +d)	approach
подтверждаться/подтвердиться	to be confirmed
подчас	sometimes
поединок	duel
поинтересоваться (р) (+inst)	to take an interest, wonder	(p) поинтересуюсь
полированный	polished
политбюро	Politburo	n indecl
политически	politically
положительно	positively
помеха	hindrance
понедельник	Monday
пить/по-	to have a drink	p попью, попьёшь, f past попила
порочный	vicious; defective
поспевать/поспеть (к +d/нa +a)	to be in time for; ripen (coll), be on time; keep up with	p поспею, поспеешь
посредство	mediation
посыпаться (i/p)	to pour down	p посыплется
по-твоему	in your opinion; as you want it
потирать/потереть (+a)	to rub
тревожить/по- (+a)	to trouble
поучать (i) (+a)	to lecture (s.o.)	i
щадить/по- (+a)	to spare	i щажу, щадишь; p пощажу, пощадишь
преграда	obstacle
предисловие	foreword
предотвращение	prevention
предшествовать (i) (+d)	to precede	i предшествует
пренебрегать/пренебречь (+inst)	to scorn (s.o. or sth)
прения (n pl)	debate, discussion	n pl; g pl прений
прибрежный	coastal; riverside
прививать/привить (+a)	to inoculate; inculcate	p привью, привьёшь, past привила
приз	prize	nom pl призы
прикреплять/прикрепить (+a к +d)	to fasten (sth to sth)	p прикреплю, прикрепишь
примета	sign
присваивать/присвоить (+a)	to take over, appropriate; award, confer (sth on s.o.)
присматривать/присмотреть (за +inst)	to look after, supervise
пристальный	fixed, constant
присутствующий	present, (as noun) person present
приучать/приучить (+inf or к +d)	to train (to do sth)	p приучу, приучишь
причёска	hairstyle	g pl причёсок
причудливый	odd, whimsical
проповедовать (i) (+a)	to preach; advocate	i проповедую
прорываться/прорваться	to break through; tear	p прорвусь, прорвёшься, past прорвался, прорвалась
прорезывать/прорезать (+a)	to cut through	p проре́зать, проре́жу, проре́жешь; прореза́ть i/проре́зывать i
просвечивать (i)	to be translucent; shine through
прославлять/прославить (+a)	to make famous	p прославлю, прославишь
простаивать/простоять	to stand idle
простыня	sheet (bedding)	nom pl простыни, g pl простынь, d pl простыням
протокол	protocol; minutes (of meeting)
процедура	procedure
птичка	small bird; tick	g pl птичек
пульс	pulse
пускай	let (= пусть) (coll)	Пускай говорит Let him speak
пустырь (m)	waste ground	g sg пустыря
пылать (i)	to blaze	i
радикальный	radical
радужный	iridescent; radiant
разбег	run
разбой	banditry
разбойничий	robber’s, brigand’s	f разбойничья, n разбойничье
разводиться/развестись	to get divorced; breed	p разведусь, разведёшься, past развёлся, развелась
раздражённо	with irritation, crossly
разлетаться/разлететься	to fly apart; scatter, shatter	p разлечусь, разлетишься
размещаться/разместиться	to be seated, placed, accommodated, take one’s place	p размещусь, разместишься
разновидность (f)	variety, type	f
разрываться/разорваться	to break; explode	p разорвётся, past разорвался, разорвалась
разоряться/разориться	to be ruined, bankrupt
разрешаться (i)	to be permitted; be resolved	i Курить не разрешается Smoking is not permitted
раса	race (ethnic)
раскаиваться/раскаяться (в +pr)	to repent (of sth)
раскидывать/раскинуть (+a)	to stretch out, extend
расправляться/расправиться (с +inst)	to deal with; straighten out	p расправлюсь, расправишься
расцветать/расцвести	to blossom, bloom	p расцвету, расцветёшь, past расцвёл, расцвела
реализм	realism
регулярно	regularly
регулярный	regular
ремонтировать (i/p) (+a)	to repair, redecorate	i/p ремонтирую
ржавый	rusty
робеть/о-	to be timid	i робею, робеешь
розыгрыш	(lottery) draw; practical joke
роковой	fateful
роскошный	luxurious
рослый	tall, strapping
рыться/по- (в +pr)	to dig, rummage (in)	i роюсь, роешься
самоотверженный	self-sacrificing
санитарный	medical, sanitary
седина	grey hair	nom pl седины
секретный	secret (adj)
секция	section
семьсот	seven hundred	g семисот
сессия	session; examinations
склонять/склонить (+a)	to bend, bow	p склоню, склонишь
слияние	confluence; merging
сложно	complicated(ly)
мешать/с- (+a)	to mix	мешать i/смешивать i
смешиваться/смешаться	to mix, mingle; get mixed up
смола	tar, pitch	nom pl смолы
смущённый	embarrassed
собранный	disciplined; precise
совпадение	coincidence
сомнительный	doubtful, dubious
сосредоточиваться/сосредоточиться (на +pr)	to concentrate (on)
спасительный	saving, life saving
спирт	alcohol, spirit	pr sg в спирте or в спирту, nom pl спирты
сплочённый	united
ставень (m)	shutter	(also ставня) g pl ставней and ставен
темнеть/с-	to get dark	p стемнеет
стирать/стереть (+a)	to rub off; grind down	p сотру, сотрёшь, past стёр, стёрла
сталкивать/столкнуть (+a)	to push off; to knock together
стон	groan
стоп	stop!
суетиться/за-	to run around, fuss about	i суечусь, суетишься
суконный	cloth (adj)
счастливец	lucky man
счёты (pl)	abacus	g pl счётов
таракан	cockroach
тахта	divan
телеграфный	telegraph (adj)
терпеливый	patient
тесто	pastry, dough
толчок	push; jolt
топтаться (i)	to stamp	i топчусь, топчешься
торговец	trader
тоскливо	drearily
тоскливый	depressed, depressing
требовательный	demanding
тренировка	training	g pl тренировок
треть (f)	third	g pl третей
трогаться/тронуться	to set off
трусливый	cowardly
тряпьё	rags
тряхнуть (p)	to shake
тсс	shh! keep quiet!
тумба	pedestal; bollard
тучка	small cloud	g pl тучек
угнетать (i) (+a)	to oppress
удочка	fishing rod	g pl удочек
укоризненно	reproachfully
уместно	appropriately
умысел	intention
унижать/унизить (+a)	to humiliate
уничтожаться/уничтожиться	to be destroyed
управляемый	controlled
управляться (i)	to be controlled; (c +inst) deal with	i управляюсь
усиленно	intensively
усиленный	intensive, intensified
ухитряться/ухитриться (+inf)	to manage (to do sth) (coll)
уют	comfort, cosiness
уютно	cosily
уяснять/уяснить (+a)	to understand
фальшивый	false
фарфор	porcelain
фасад	façade
характеризоваться (i) (+inst)	to be characterized (by)	i характеризуюсь
хлебнуть (р)	to drink (coll)	p
хлопотать/по-	to bustle about; make efforts	i хлопочу, хлопочешь
холодок	coolness; cool place (coll)
хорошенько	properly (coll)
хрипеть (i)	to wheeze	i хриплю, хрипишь
христианский	Christian
хромать (i)	to limp	i
хромой	lame
худший	worst
цветущий	blooming; flourishing
целесообразность (f)	expediency	f
человечность (f)	humaneness, humanity	f
чернеть/по-	to turn black	i чернею, чернеешь
чёртов	devil’s (adj)	чёртова дюжина baker’s dozen
чудовище	monster
чужбина	foreign land	no pl; на чужбине in foreign parts
шахтёр	miner
шеренга	rank, file, column
шестнадцатый	sixteenth
штора	(window) blind
шуршать (i)	to rustle	i шуршу, шуршишь
авантюрист	adventurer
авиационный	aviation (adj)
агитировать (i)	to agitate, campaign	i агитирую
акт	act (of play); document
али	or (coll) (= или)	= или
аргумент	argument
астрономия	astronomy
базис	basis
баловаться (i)	to play about, indulge os	i балуюсь
бар	bar
бархатный	velvet (adj)
спиртной	alcoholic (adj)	спиртные напитки alcoholic drinks
башмак	shoe	g sg башмака
бедно	poorly, cheaply
безвестный	unknown
безграмотный	illiterate
безделушка	knick-knack, trinket	g pl безделушек
бездельник	idler
бездонный	bottomless
бережливость (f)	thrift	f
берёт	beret
бесплатно	free (without payment)
беспрепятственный	unimpeded, unhindered
бесстрашно	fearlessly
бешенство	fury; rabies
биолог	biologist
биржа	exchange; stock exchange биржа труда labour exchange
сносить/снести (+a)	to demolish; take down, take off; carry away	i сношу, сносишь; p снесу, снесёшь, past снёс, снесла
бланк	form (document)
близиться/при-	to draw near	i ближусь, близишься
близорукий	short-sighted
блуждать (i)	to wander	i
богато	richly
боеприпасы (pl)	ammunition	g pl боеприпасов
бойня	slaughter-house	g pl боен
боязно  (+d) (+inf)	afraid (coll)	Ей боязно She’s afraid
брешь (f)	breach
булыжник	cobble-stone; cobbles
буркать/буркнуть	to mutter, growl (coll)
валюта	currency; foreign currency	твёрдая валюта hard currency
ватный	quilted; cotton wool (adj)
ввысь	upwards
вдогонку	in pursuit (coll)	пуститься вдогонку за кем-нибудь to rush off after s.o.
венский	Viennese
вериться (i) (+d)	to believe	i Мне не верится, что ... I cannot believe that...
версия	version
вестник	messenger
устаревать/устареть	to become obsolete, go out of date	p устарею, устареешь
взрываться/взорваться	to explode	p взорвусь, взорвёшься
взятие	taking, capture
взятка	bribe	g pl взяток
винить/об- (+a в +pr)	to accuse (s.o. of sth)
вкусно	tasty
тонуть/у-	to drown	p утону, утонешь; тонуть i/утопать i
властно	imperiously
властный	imperious; authoritative
влечь (р) (+a)	to draw; attract	p влеку, влечёшь, влекут, past влёк, влекла
водоросль (f)	seaweed	f
возбуждающий	arousing, stimulating
возбуждённо	excitedly
воздвигать/воздвигнуть (+a)	to raise, erect	p past воздвиг, воздвигла
воздействовать (i/p) (на +a)	to affect, influence, put pressure on	i/p воздействую
возмущать/возмутить (+a)	to anger, outrage	p возмущу, возмутишь
вооружаться/вооружиться	to arm os
восемнадцатый	eighteenth
воскресать/воскреснуть	to come back to life; revive	p past воскрес, воскресла
воспитываться/воспитаться	to be brought up; be fostered
вражда	enmity
враждебно	hostilely
предвыборный	election (adj)	предвыборная кампания election campaign
врозь	separately	жить врозь to live apart
всенощная	night service (church)
всероссийский	all-Russian
выборный	electoral; elected	выборная должность elective office
выбывать/выбыть (из +g)	to leave (formal)	p выбуду, выбудешь
выговаривать/выговорить (+a)	to pronounce, articulate; (coll, i only) tell off, reprimand
выживать/выжить	to survive	p выживу, выживешь
выкидывать/выкинуть (+a)	to throw out
выметать/вымести (+a)	to sweep out	p вымету, выметешь, past вымел
выплата	payment
выполняться (i)	to be fulfilled	i выполняется
выпуклый	prominent, bulging; convex
вышвыривать/вышвырнуть (+a)	to throw out, chuck out (coll)
гавань (f)	harbour	f
герб	coat of arms
геройство	heroism
гимнастика	gymnastics
голубчик	my dear (coll)
гонорар	fee; royalties
гоняться (i) (за +inst)	to chase (after)	i гоняюсь
горячиться/раз-	to get excited
гражданка	citizen (f)	g pl гражданок
греться/по-	to warm os	i греюсь, греешься
гулко	resonantly; with an echoing sound
гулянье	festival, fete, open-air party
девятнадцатый	nineteenth
делец	wheeler-dealer	g sg дельца
дерзость (f)	rudeness; audacity	f
доброта	goodness, kindness	no pl
доисторический	prehistoric
документальный	documentary (adj)
домна	blast furnace	g pl домен
досадно	annoying	Ей было досадно, что он опоздал She was annoyed that he came late
достоверность (f)	authenticity, reliability	f
драть/со- (+a)	to tear; thrash; fleece (coll)	i деру, дерёшь, f past драла; разо- p/со- p
дубовый	oak (adj)
дурить (i)	to be naughty, fool about (coll)	f
дымный	smoky
дымчатый	smoke-coloured
дьякон	deacon
дядька (m)	uncle; man, bloke (coll)	m, g pl дядек
ель (f)	fir; spruce	f
ёмкость (f)	capacity	f
жгучий	burning
желательно	(it is) desirable
жерло	mouth, muzzle	nom pl жерла, g pl жерл
жёрнов	millstone	nom pl жернова
жизнерадостный	cheerful, happy
забвение	oblivion
заботливо	solicitously
забрести (р)	to wander in, drop in; stray	p забреду, забредёшь, past забрёл, забрела
загар	suntan
загибать/загнуть (+a)	to bend
загораживать/загородить (+a)	to fence in; obstruct	p загорожу, загородишь
загрузка	loading
задержка	delay	g pl задержек
зазвенеть (р)	to begin to ring	p зазвенит
заладить (р) (+a)	to keep repeating (sth); (+inf) get into the habit of (coll)	p залажу, заладишь
залетать/залететь (в +a)	to fly in; (за +a) fly behind	p залечу, залетишь
заливаться/залиться	to be flooded; (+inst) start to do sth vigorously	p зальюсь, зальёшься, past залился, залилась; залиться смехом to burst out laughing
маскировать/за- (+a)	to disguise, camouflage	p замаскирую
западня	trap	g pl западней
зараза	infection; (coll) pest
заражать/заразить (+a +inst)	to infect (s.o. with sth)	p заражу, заразишь
резать/за- (+a)	to kill	p зарежу, зарежешь
заслонять/заслонить (+a)	to shield, conceal, screen	i заслоняю
обнадёживать/обнадёжить (+a)	to give hope (to), reassure
затворять/затворить (+a)	to close	p затворю, затворишь
затериваться/затеряться	to go missing, be mislaid; vanish (coll)	p затеряюсь
захлопывать/захлопнуть (+a)	to bang, slam
защищаться/защититься	to defend os; defend one’s thesis (for a higher degree)
зевать/зевнуть	to yawn
земледельческий	agricultural
злодей	villain
зорко	sharp-sightedly, vigilantly
зять (m)	son-in-law; brother-in-law	m; nom pl зятья, g pl зятьёв
идеализм	idealism
издаваться/издаться	to be published	i издаётся
издавна	since long ago
издательский	publishing (adj)
изумлённо	with amazement
буржуазия	bourgeoisie
классовый	class (political) (adj)	классовая борьба class struggle
алмаз	(uncut) diamond
сосуд	vessel
монополия	monopoly
пятилетка	five-year plan	g pl пятилеток
чайка	seagull	g pl чаек
кислота	acid; acidity	nom pl кислоты
консул	consul
австрйец	Austrian	g sg австрийца
австрийский	Austrian
окорок	ham, gammon	nom pl окорока
майор	major
всесоюзный	all-union (relating to all the republics of the USSR)
углерод	carbon
управляющий (+inst)	manager
колониальный	colonial
красноармёец	Red Army soldier	g sg красноармейца
шарф	scarf
волосок	(a) hair
специализированный	specialized
эксперт	expert
араб	Arab
беженец	refugee
вахта	watch (on ship); special work shift
трест	trust; group of companies
хоккеист	hockey player
всадник	horseman
вычислительный	calculating, computing	вычислительная техника computers
гипс	plaster (of Paris)
общаться (i) (с +inst)	associate, socialize (with)	i
заготовка	state order (for goods); stocking up	g pl заготовок
монархия	monarchy
нравственность (f)	morality	f
длительность (f)	duration	f
мишень (f)	target	f
зарплата (заработная плата)	pay, wages, salary
трасса	route, course (of road etc.)	воздушная трасса airway
казачий	Cossack (adj)	f казачья, n казачье
кухарка	cook (f)	g pl кухарок
облигация	bond
вальс	waltz
кормовой	stem (of ship - adj); fodder (adj)
астроном	astronomer
воззрение	opinion, outlook
кодекс	code, codex
эфир	air (broadcasting); ether	выйти в эфир to go on the air
зола	ashes, cinders	no pl
китель (m)	military jacket, high-necked tunic	nom pl кителя
концентрация	concentration
обождать (р) (+a)	to wait (coll)	p обожду, обождёшь
превосходительство	excellency (title)
буржуй	bourgeois (noun) (coll)
идейный	ideological; containing ideas; progressive; high-principled
электронный	electronic
буксир	tugboat; tow-rope
лакей	lackey; servant
пропуск	pass, permit; blank, gap	(nom pl пропуска) pass, permit; (nom pl пропуски) blank, gap
осадок	sediment; deposition; after-taste	осадки precipitation (rain, snow)
растительный	vegetable (adj)	растительное масло vegetable oil
ячейка	cell	g pl ячеек
артиллерист	gunner
сосуществование	coexistence
озимый	winter of crops	озимые winter crops
поручик	lieutenant (tsarist army)
горничная	maid (servant)
терраса	terrace
вселённая	universe
люк	hatch, hatchway, manhole
скептик	sceptic
светящийся	luminous
хрусталь (m)	crystal, cut glass	m; g sg хрусталя
плуг	plough	nom pl плуги
частушка	chastushka, witty rhyme
ширма	screen
союзный	allied; of the USSR
спекулянт	speculator
тренер	trainer, coach
брусок	bar, ingot
гранит	granite
кролик	rabbit
монументальный	monumental
водород	hydrogen
очко	point (in scoring); (pl) glasses, spectacles	nom pl очки, g pl очков; в очках wearing glasses
рудник	mine (for minerals)	g sg рудника
футбол	football
хутор	farm; Ukrainian hamlet	nom pl хутора
потребление	consumption	товары широкого потребления consumer goods
республиканский	republican
кратер	crater
атмосферный	atmospheric
световой	light (adj, as in ‘light year’)	световые полосы strips of light
станица	Cossack village
руда	ore	nom pl руды
бабка	grandmother; old woman (coll)	g pl бабок
канадец	Canadian (man)
кукуруза	maize
лирический	lyrical
нары (pl)	bunk, plank-bed	g pl нар
научно-технический	scientific and technical
серный	sulphuric
фланг	flank
шестёрка	six; group of six	g pl шестёрок
шеф	boss, chief
брус	beam (of wood or metal)	nom pl брусья, g pl брусьев
египетский	Egyptian
излучать/излучить (+a)	to radiate
коммунистический	communist (adj)
контрреволюция	counter-revolution
котлован	foundation pit, trench
линза	lens
обоз	string of carts; military transport
аж	even (coll) (= даже)	= даже
буфетчик	barman
кубометр	cubic metre
курган	barrow, burial mound
металлургический	metallurgical
обсерватория	observatory
отчётный	report (adj), reporting	отчётный доклад report
платёжный	payment (adj)
платёж	payment	g sg платежа
покуда	while (coll) (= пока)	= пока
сочный	juicy, rich
суша	(dry) land (opposite of sea)
агитатор	agitator
альпийский	alpine
батя (m)	dad, father (coll) (= батюшка)	= батюшка
большевистский	Bolshevik (adj)
стабильность (f)	stability	f
гимназист	grammar-school pupil
изумруд	emerald
проектирование	planning
урожайность (f)	crop productivity, yield	f
физкультура	physical training
устный	oral	устный экзамен oral examination
выемка	taking out; collection (of letters)
гармошка	accordion (coll)	g pl гармошек
горком	town committee	= городской комитет
заряженный	loaded (of weapon)
караван	caravan; convoy
крона	crown (of tree); crown (currency)
механика	mechanics
накидка	cloak, mantle, cape	g pl накидок
отставлять/отставить (+a)	to set aside	p отставлю, отставишь
павильон	pavilion
патруль (m)	patrol	m
портовый	port (adj)
проситься/по- (+inf or в/на +a)	to ask for	i прошусь, просишься
скульптор	sculptor
упираться/упереться (в +a)	to lean (against); come up against
уполномоченный	plenipotentiary; person authorized
шайба	washer; (hockey) puck
штатский	civilian (adj) (not military)
штык	bayonet	g sg штыка
альбом	album
Богородица	the Virgin
валовой	gross (adj)	валовой доход gross income; валовой национальный продукт gross national product
гол	goal (sport)	nom pl голы, g pl голов
грузчик	docker; freight handler
двусторонний	double-sided, two-way; bilateral
девальвация	devaluation
десятина	desiatina (about a hectare)
козырёк	peak (of cap)	g sg козырька; взять под козырёк to salute
субъективный	subjective
вожжа	rein	nom pl вожжи, g pl вожжей
гамма	scale; gamut, range
карниз	cornice; ledge
древесина	timber
опрос	survey; questioning	опрос общественного мнения opinion poll
католический	Catholic (adj)
комета	comet
литератор	literary man, man of letters
перевозка	transportation	g pl перевозок
подвижный	mobile, agile
проектный	planning (adj); projected
раковина	(sea)shell; sink, wash-basin
семечко	(small) seed	nom pl семечки, g pl семечек
сера	sulphur
сметана	sour cream
суждено (+d +inf)	it is fated	Нам суждено было встретиться We were fated to meet
ввод	bringing in
внешнеполитический	foreign-policy (adj)
вредитель (m)	pest	m
дотация	subsidy
жилетка	waistcoat	g pl жилеток
заболевание	illness
закалка	physical training, fitness
залежь (f)	(mineral) deposit	f
зерновой	grain (adj)
изготовляться/изготовиться	to be manufactured; get ready	i изготовляется
инспекция	inspection
коллективизация	collectivization
конструкторский	design (adj)
кооперация	cooperation
лесничий	forest warden, ranger
лишение	deprivation	лишение свободы imprisonment
производитель (m)	producer	m
феномен	phenomenon
радист	radio operator
упрочение	strengthening
уран	uranium
хам	boor (coll)
хрустальный	crystal (adj)
алкоголик	alcoholic (noun)
чреватый (+inst)	fraught (with)	Это чревато опасностью This is fraught with danger
география	geography
душевно	mentally; cordially
известь (f)	lime (chemical)	f
конюшня	stable	g pl конюшен
крупа	groats (grain)
лягушка	frog	g pl лягушек
металлургия	metallurgy
мыс	cape, promontory	pr sg на мысе or на мысу
обследовать (i/p) (+a)	to investigate	i/p обследую
отрез	cut
перемирие	truce
плот	raft	g sg плота
предусматриваться (i)	to be envisaged, be stipulated	i
принуждение	compulsion
прирост	increase
разгадывать/разгадать (+a)	to guess, work out
растворять/растворить (+a)	to open; dissolve	p -творю, -творишь
реактивный	jet-propelled
рысь (f)	trot; lynx	f; на рысях at a trot
рюкзак	rucksack	g sg рюкзака
связист	signaller; communications engineer
синтетический	synthetic
сострадание	compassion
старт	start (sport)
сушить/вы- (+a)	to dry (sth)	i сушу, сушишь
декада	ten-day period
завоеватель (m)	conqueror	m
катушка	reel, spool	g pl катушек
китаец	Chinaman	g sg китайца
комендатура	commandant’s office
котлета	cutlet; meatball, hamburger
математический	mathematical
микрофон	microphone
обострение	intensification, sharpening
пират	pirate
плавки (pl)	swimming trunks	g pl плавок
поваренный	culinary	поваренная книга cookery book
престарелый	aged, of advanced years	дом для престарелых old people’s home
пурга	blizzard	no pl
репортёр	reporter
свинство	swinish trick (coll)
секретарша	(female) secretary (coll)
таёжный	taiga (adj)
убеждённость (f)	conviction	f
шотландский	Scottish
шпага	sword
штабной	staff, headquarters (adj)
щепа	splinter, chip	nom pl щепы, g pl щеп, d pl щепам
эволюция	evolution
экватор	equator
ягнёнок	lamb	nom pl ягнята, g pl ягнят
австралийский	Australian (adj)
антисемитизм	antisemitism
боб	bean	g sg боба
булавка	pin	g pl булавок
ватага	band, gang
воззвание	appeal
всемерный	utmost, every kind of	всемерная помощь all possible assistance
дебют	debut
естествознание	natural science
милосердие	mercy, charity
карусель (f)	merry-go-round, carousel	f
кондиционер	air conditioner
хозрасчёт	self-financing
чутьё	scent; instinct, intuition	женское чутьё female intuition
накалённый	white-hot; tense
новатор	innovator
оптимальный	optimal
остов	framework
отсек	compartment
прищуриваться/прищуриться	to screw up one’s eyes, half close one’s eyes
пробег	run, race
прослезиться (р)	to shed tears	p прослежусь, прослезишься
скула	cheekbone	nom pl скулы
ракетный	rocket (adj)
резьба	carving
родовой	ancestral; generic; birth (adj)
социал-демократический	social-democratic
туалет	toilet
футболист	footballer
чемоданчик	small suitcase
шовинизм	chauvinism
шоры (pl)	blinkers	g pl шор
аванс	advance (payment)
атеистический	atheistic
бабушкин	grandmother’s (possessive adj)	в бабушкином доме in grandmother’s house
гипсовый	plaster
ересь (f)	heresy	f
застенок	torture-chamber
кефир	kefir, yoghurt-type drink
извещать/известить (+a)	to inform, notify (bookish)	p извещу, известишь
калач	kalach (small white loaf)	g sg калача; тёртый калач old hand
кличка	nickname; name (of pet animal)	g pl кличек
колокольчик	small bell; bluebell
композиция	composition
контур	contour; outline; electrical circuit
координация	coordination
кочка	hummock	g pl кочек
кубик	child’s building brick
кура	hen (coll) (=курица)	=курица
кустарник	bushes, shrubs
ледниковый	glacial
лепить/вы- (+a)	to model, mould	i леплю, лепишь; вы-, с- р
лирика	lyric poetry
медлить (i)	to be slow, tarry	i
миленький	sweet, nice, dear
мозаика	mosaic
нагреваться/нагреться	to warm os, warm up
обновление	renovation
познавать/познать (+a)	to get to know, experience	i познаю, познаёшь
приостанавливаться/приостановиться	to stop (for a while), pause	p приостановлюсь, приостановишься
расписание	timetable
сажа	soot
светило	luminary
сечение	cutting; section
слива	plum
сношение	intercourse	сношения dealings, relations
туша	carcass
упряжка	team (of horses, dogs); harness	g pl упряжек
утопический	utopian
ходовой	(coll) popular; operational, working	ходовые мнения popular opinions
чувствительность (f)	sensitivity	f
чудный	wonderful
фара	headlamp
шлюз	lock, sluice
шов	seam
шрам	scar
эмигрант	emigrant, emigre
азот	nitrogen
аристократ	aristocrat
бес	demon
беседка	summer-house	g pl беседок
благоустройство	equipping with amenities
